推,噓,分數,作者,標題,時間
51,11,40,geordie (Geordie),[新聞] 北京再發對台武力威脅五角大樓官員：有,Sat May 30 07:23:14 2020
0,0,0,dan1994112 (基隆吳彥祖),[問卦] 還記得躺著玩坐著玩趴著玩的都幾歲了,Sat May 30 11:06:45 2020
34,2,32,pp771017 (橫艾),[問卦] 卜學亮的代表作是什麼？,Sat May 30 07:19:51 2020
6,1,5,HumphreyShih (Stone),[問卦] 通姦民法可以只對小三求償?,Sat May 30 10:01:30 2020
11,1,10,zxc17893 (八千代代木村拓哉),[問卦] 為什麼3D列印公仔比不上翻模精美？,Sat May 30 02:51:53 2020
8,15,-7,blueadam193 (),[新聞] 「校長醉倒」照被爆是變造 議員：網友太厲害了但確有其事,Sat May 30 08:59:25 2020
11,2,9,tom501062003 (池袋情報商),[問卦] 馬國保打得贏有在練的大學生嗎？,Sat May 30 08:38:05 2020
1,0,1,Lailungsheng (狼不會入眠),Re,Sat May 30 09:50:59 2020
7,2,5,prmea (123),[問卦] 那為什麼還有墮胎罪？,Sat May 30 08:01:01 2020
9,6,3,relax911 (Lmerro),[新聞] 通姦除罪／通姦罪失效 若配偶外遇仍可要,Sat May 30 08:24:10 2020
0,0,0,junter1989k (軍特),Re,Sat May 30 02:36:46 2020
6,2,4,autokey (該起床啦),[問卦] 3個女孩與1個男孩可以組成幾個小團體,Sat May 30 07:37:36 2020
12,7,5,a77774444 (我愛ˋ台灣),[問卦] 台灣司法凌駕各權的八卦？,Sat May 30 01:03:46 2020
16,2,14,samman0917 (台中打網球),Re,Sat May 30 09:03:43 2020
13,8,5,zzzz8931 (宅男),[新聞] 撤換2反同委員有難度　柯市府：要證明,Sat May 30 10:00:58 2020
8,2,6,su27 (su27),Re,Sat May 30 07:35:10 2020
5,3,2,pardo (pardo),[問卦] 在飛機上po文的話IP是屬於哪個國家的,Sat May 30 03:17:45 2020
0,0,0,kenting123 (Ken),[問卦] 台女最大的競爭對手是誰,Sat May 30 11:06:11 2020
5,5,0,lalalamb (lala),[新聞] 通姦罪違憲失效！員警樂見不用再撿保險套,Sat May 30 10:50:54 2020
4,1,3,xpsecret (雙層純牛肉),[問卦] 拿真錢玩大富翁算是財富自由嗎,Sat May 30 06:59:48 2020
0,0,0,chen5566 (文心),[問卦] 古代有反織田信長的嗎？,Sat May 30 11:09:48 2020
11,0,11,ray90910 (Blackbird),[問卦] 佐佐木希怎麼能一直這麼正？,Sat May 30 00:51:44 2020
